date,years_exp,cid,cfcontrol,leg_totalbills,state,amtsumlag_1,amtsumfwd_1,billsumfwd_1,billsum,amtsum
2012,20,N00007312,0.0,2.0,CA,165.082,201.326,0.0,0.0,247.09599999999998
2014,22,N00007312,0.0,2.0,CA,201.326,0.0,0.0,0.0,227.305
2008,14,N00001746,0.0,4.0,PA,91.54700000000001,122.544,0.0,0.0,134.04
2010,16,N00001746,0.0,4.0,PA,122.544,163.016,2.0,0.0,234.22
2012,18,N00001746,0.0,6.0,PA,163.016,153.05,2.0,1.0,185.252
2014,20,N00001746,0.0,4.0,PA,153.05,0.0,0.0,0.0,193.72299999999998
2006,14,N00007033,0.0,1.0,CA,335.525,259.71,5.0,0.0,303.228
2008,16,N00007033,0.0,15.0,CA,259.71,189.477,8.0,1.0,235.112
2010,18,N00007033,0.0,16.0,CA,189.477,88.75,3.0,0.0,286.703
2012,19,N00007033,0.0,4.0,CA,88.75,0.0,0.0,0.0,10.75
2006,26,N00000275,0.0,6.0,MA,289.066,462.783,12.0,0.0,528.967
2008,28,N00000275,0.0,16.0,MA,462.783,394.79900000000004,14.0,3.0,571.144
2010,30,N00000275,0.0,9.0,MA,394.79900000000004,264.445,2.0,2.0,705.836
2012,32,N00000275,0.0,21.0,MA,264.445,0.0,0.0,0.0,3.718
2006,12,N00000684,0.0,1.0,NJ,161.576,134.25,0.0,0.0,234.02599999999998
2008,14,N00000684,0.0,3.0,NJ,134.25,203.878,0.0,0.0,261.79900000000004
2010,16,N00000684,0.0,1.0,NJ,203.878,231.65,1.0,0.0,273.4
2012,18,N00000684,0.0,13.0,NJ,231.65,288.4790000000001,0.0,0.0,372.64599999999996
2014,20,N00000684,0.0,1.0,NJ,288.4790000000001,0.0,0.0,0.0,366.532
2006,20,N00007231,0.0,1.0,CA,33.2,59.196999999999996,1.0,0.0,111.634
2008,22,N00007231,0.0,4.0,CA,59.196999999999996,37.952,0.0,0.0,123.90100000000001
2010,24,N00007231,0.0,3.0,CA,37.952,36.37,1.0,0.0,117.24600000000001
